地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
頂埔下６９號三樓,,111/06/27,770,21.7,35.47,84.35%,公寓(5樓含以下無電梯),10,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住家用,
下埔下３６８號三樓,,111/06/25,810,22,36.84,77.74%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳2衛,,有,無,住家用,建物第一次登記後移轉
埔邊１２３之２號二樓,,111/06/13,230,24.1,9.54,73.33%,公寓(5樓含以下無電梯),9,二層/三層,房地(土地+建物),土:4 建:1車:0,,,無,無,住家用,
下埔下３６８號,,111/06/13,810,23.5,34.53,82.95%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳2衛,,有,無,住家用,建物第一次登記後移轉
下埔下３６８號二樓,,111/06/13,740,20.1,36.84,77.74%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳2衛,,有,無,住家用,建物第一次登記後移轉
西浦頭１０２號,,111/06/11,845,0,57.96,,透天厝,26,全/二層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,無,無,住家用,
瓊安路１３０６號二樓之１,,111/06/11,580,19.9,29.17,73.86%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
東洲７６號二樓,,111/06/10,950,22.1,43.03,57.44%,華廈(10層含以下有電梯),7,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,本買賣標的包括停車位編號：6號之使用權。
前厝４５之８號,,111/06/06,2080,0,72.55,,透天厝,5,全/三層,房地(土地+建物),土:2 建:1車:0,6房2廳4衛,,無,無,住家用,含裝潢費;含傢俱設備費;
頂堡３０６號五樓,,111/06/06,500,16.4,30.45,62.87%,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物)+車位,土:5 建:1車:1,2房2廳2衛,,有,有,住家用,建物第一次登記後移轉
東坑５１號二樓,,111/06/03,650,22.7,28.63,83.17%,公寓(5樓含以下無電梯),5,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
湖下２１１－１０號二樓,,111/06/02,575,24.5,23.48,75.24%,華廈(10層含以下有電梯),1,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,"含裝潢費950,000元;"
東坑１７號,,111/05/26,1150,0,67.4,,透天厝,7,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳4衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
仁愛新９２號三樓,,111/05/25,370,18.9,19.58,92.60%,公寓(5樓含以下無電梯),12,三層/三層,房地(土地+建物),土:1 建:1車:0,4房0廳4衛,,無,無,住家用,
頂堡３０６號三樓,,111/05/12,480,15.8,30.45,62.87%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:5 建:1車:1,2房2廳2衛,,有,有,住家用,建物第一次登記後移轉
湖南４０號,,111/05/10,1650,0,60.79,,透天厝,13,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳3衛,,無,無,住家用,
環島西路二段９３１號,,111/05/10,1050,0,64.67,,透天厝,2,全/三層,房地(土地+建物),土:1 建:1車:0,6房1廳6衛,,無,無,住家用,
湖下２１１－１１號,,111/05/05,570,26.4,21.56,81.12%,公寓(5樓含以下無電梯),1,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,
瓊安路１３００號二樓,,111/05/04,698,21.6,34.87,75.55%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,38,無,有,住家用,預售屋、或土地及建物分件登記案件;
安岐２０８號三樓,,111/04/28,620,23.1,26.79,85.04%,公寓(5樓含以下無電梯),7,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
湖下３８０之１７號,,111/04/26,430,23.6,18.21,77.61%,華廈(10層含以下有電梯),2,一層/四層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,
頂堡３０６號二樓,,111/04/26,488,18.9,25.78,74.96%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:5 建:1車:1,2房1廳2衛,,無,有,住家用,建物第一次登記後移轉
瓊安路１３０６號四樓之２,,111/04/19,620,20.2,32.8,73.04%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,45,無,有,住家用,預售屋、或土地及建物分件登記案件;
頂埔下２９號三樓之５,,111/04/18,300,28.4,10.58,64.24%,華廈(10層含以下有電梯),6,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
頂堡３０７號二樓,,111/04/12,680,16.5,41.33,59.13%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:5 建:1車:1,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
下堡１００之２９號二樓之３,,111/04/11,240,28.3,8.49,79.34%,公寓(5樓含以下無電梯),7,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
湖下２１１－８號四樓,,111/04/09,550,23.4,23.48,75.24%,華廈(10層含以下有電梯),1,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,建物第一次登記後移轉 含約定專用法定停車位一位
瓊安路１３０６號三樓之２,,111/04/07,583,20.5,28.49,73.04%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
頂堡７０之１號,,111/04/01,960,0,76.77,,透天厝,44,全/二層,房地(土地+建物),土:1 建:1車:0,6房2廳1衛,,無,無,住家用,
湖下２１１－８號,,111/03/31,570,26.2,21.77,81.10%,華廈(10層含以下有電梯),1,一層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,,有,有,住家用,建物第一次登記後移轉
瓊安路１３００號四樓,,111/03/29,625,20.5,30.56,75.55%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
頂埔下２３之２號三樓,,111/03/28,440,18.7,23.55,81.16%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,無,無,住家用,
中堡８之３號三樓,,111/03/24,560,15.7,35.61,69.01%,華廈(10層含以下有電梯),4,三層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,
安岐１３２號二樓,,111/03/22,800,17.2,46.47,61.46%,公寓(5樓含以下無電梯),8,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,無,住家用,
東坑１１之２號三樓,,111/03/21,550,22.2,24.72,81.27%,公寓(5樓含以下無電梯),5,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
頂堡３０７號,,111/03/18,700,15.5,45.06,59.18%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物)+車位,土:5 建:1車:3,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
頂堡３０７號四樓,,111/03/18,700,17.1,40.95,59.13%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:5 建:1車:1,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
頂堡３０７號三樓,,111/03/18,700,17.1,40.95,59.13%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:5 建:1車:1,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
