總價(萬元),單價,總面積,主建物佔比,型態,管理組織,電梯,交易年份,土,建,車,房,廳,衛,樓別,樓高,地區
205.0,21.3,9.62,81.85%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
598.0,19.8,30.2,85.04%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,一層,5,安岐
608.0,17.6,34.45,78.21%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,三層,5,安岐
630.0,19.3,32.69,78.56%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,四層,5,安岐
598.0,17.4,34.34,78.14%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,五層,5,安岐
205.0,21.3,9.62,81.85%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
580.0,16.9,34.34,78.14%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,四層,5,安岐
390.0,22.5,17.87,68.87%,華廈(10層含以下有電梯),無,有,111,1,1,1,2.0,1.0,2.0,一層,5,下堡
618.0,18.9,32.69,78.56%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,1.0,2.0,三層,5,安岐
638.0,19.5,32.69,78.56%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,1.0,2.0,二層,5,安岐
646.0,19.8,32.69,78.56%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,1.0,2.0,五層,5,安岐
655.0,20.9,31.29,85.56%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,1.0,2.0,一層,5,安岐
235.0,16.8,14.01,81.96%,公寓(5樓含以下無電梯),有,無,111,1,1,0,3.0,2.0,2.0,二層,3,嚨口
638.0,18.5,34.45,78.21%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,1.0,2.0,二層,5,安岐
620.0,15.7,39.38,77.38%,公寓(5樓含以下無電梯),無,無,111,1,1,1,3.0,2.0,2.0,一層,3,頂堡
535.0,20.4,26.23,89.68%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,2.0,2.0,一層,3,西浦頭
655.0,21.4,32.8,73.04%,華廈(10層含以下有電梯),無,有,111,1,1,1,3.0,2.0,2.0,五層,5,瓊安路
175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,二層,3,下堡
220.0,25.4,8.65,79.01%,公寓(5樓含以下無電梯),無,無,111,2,1,0,1.0,0.0,1.0,三層,3,榜林
610.0,18.7,32.65,69.68%,華廈(10層含以下有電梯),無,有,111,1,1,0,2.0,2.0,2.0,五層,5,西堡
600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),無,有,111,1,1,0,2.0,2.0,2.0,四層,5,西堡
600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),無,有,111,1,1,0,2.0,2.0,2.0,三層,5,西堡
600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),無,有,111,1,1,0,2.0,2.0,2.0,二層,5,西堡
630.0,22.1,28.56,75.13%,華廈(10層含以下有電梯),有,有,111,3,1,0,3.0,2.0,2.0,四層,5,西山
