地段位置或門牌,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高,交易筆棟數,建物現況格局,管理組織,電梯,交易年份
湖南３１之３號二樓,530.0,18.9,28.07,84.34%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
湖南３１之３號三樓,530.0,18.9,28.07,84.34%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
湖南３１之２號三樓,520.0,18.7,27.8,84.29%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
湖南３１之２號,550.0,21.6,25.49,91.94%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
下堡１００之１３號,1250.0,19.0,65.88,65.08%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,5房5廳5衛,無,無,103
湖南１３之１０號三樓,570.0,17.1,33.29,73.56%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
下堡１００之１３號三樓,1200.0,8.4,142.21,65.08%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:11,5房5廳5衛,無,無,103
南湖路１３-１０號２樓,565.0,16.9,33.5,73.09%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
下堡１００之１０號三樓,670.0,15.8,42.36,70.77%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,3房2廳2衛,無,無,103
下堡１００之１２號,611.2,11.9,51.25,68.54%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,4房4廳4衛,無,無,103
下堡１００之８號二樓,615.0,13.8,44.55,71.48%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:1,3房2廳2衛,無,無,103
下堡１００之１１號三樓,750.0,15.2,49.43,68.79%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,4房4廳4衛,無,無,103
下堡１００之１２號三樓,720.0,14.3,50.22,68.54%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,4房4廳4衛,無,無,103
下堡１００之１１號,434.5,14.6,29.84,69.21%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
下堡１００之８號三樓,680.0,15.3,44.55,71.48%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,3房2廳2衛,無,無,103
下堡１００之７號三樓,680.0,15.3,44.55,71.48%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,3房2廳2衛,無,無,103
埔邊３９號三樓,720.0,19.2,37.41,79.89%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
埔邊３５號三樓,690.0,18.7,36.91,72.62%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房1廳2衛,無,無,103
埔邊３８號二樓,610.0,18.2,33.52,83.39%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,2房2廳2衛,無,無,103
埔邊３６號,740.0,25.0,29.61,88.82%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,2房1廳2衛,無,無,103
埔邊３７號三樓,782.0,22.6,34.6,87.46%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,2房2廳2衛,無,無,103
埔邊３７號二樓,657.4,19.0,34.6,87.46%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,2房2廳2衛,無,無,103
埔邊３９號二樓,650.0,17.4,37.41,79.89%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
埔邊３８號三樓,610.0,18.2,33.52,83.39%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,2房2廳2衛,無,無,103
埔邊３５號二樓,675.0,18.3,36.91,72.62%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房1廳2衛,無,無,103
下堡１００之９號三樓,680.0,15.2,44.62,71.34%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,3房2廳2衛,無,無,103
下埔下１１７號２樓,710.0,17.8,39.84,82.44%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,103
頂埔下２３之１號二樓,470.0,14.3,32.88,84.14%,公寓(5樓含以下無電梯),二層/三層,土:2 建:1車:0,3房2廳2衛,無,無,102
下堡１００之１７號,418.2,14.6,28.57,65.05%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房3廳3衛,無,無,102
下堡１００之９號二樓,515.1,14.1,36.47,71.34%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,2房2廳1衛,無,無,102
下堡１００之１１號二樓,597.0,14.5,41.29,68.79%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
下堡１００之１２號二樓,561.0,13.0,43.1,68.54%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,4房4廳4衛,無,無,102
下堡１００之８號,524.0,11.8,44.55,74.20%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,3房2廳2衛,無,無,102
下堡１００之１０號二樓,535.0,12.6,42.36,70.77%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:1,2房2廳1衛,無,無,102
下堡１００之７號,519.4,11.7,44.55,74.20%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,3房2廳2衛,無,無,102
下堡１００之９號,550.0,12.3,44.62,74.05%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,3房2廳2衛,無,無,102
下堡１００之７號二樓,549.6,12.3,44.55,71.48%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:1,3房2廳2衛,無,無,102
下堡１００之１０號,529.0,12.5,42.33,73.81%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,3房2廳2衛,無,無,102
湖埔村頂埔下２３之２號,370.0,15.7,23.54,84.89%,公寓(5樓含以下無電梯),一層/三層,土:2 建:1車:0,2房1廳1衛,無,無,102
湖埔村頂埔下２３之６號３樓,365.0,15.5,23.55,81.16%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,2房1廳1衛,無,無,102
湖埔村頂埔下２３之６號,325.0,13.8,23.54,84.89%,公寓(5樓含以下無電梯),一層/三層,土:2 建:1車:0,2房1廳1衛,無,無,102
湖埔村頂埔下２３之１號,500.0,15.2,32.88,85.05%,公寓(5樓含以下無電梯),一層/三層,土:2 建:1車:0,3房2廳2衛,無,無,102
湖埔村頂埔下２３之１號３樓,480.0,14.6,32.88,84.14%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,3房2廳2衛,無,無,102
湖埔村頂埔下２３號２樓,460.0,14.0,32.88,84.14%,公寓(5樓含以下無電梯),二層/三層,土:2 建:1車:0,3房2廳2衛,無,無,102
湖埔村頂埔下２３之２號２樓,358.0,15.2,23.55,81.16%,公寓(5樓含以下無電梯),二層/三層,土:2 建:1車:0,2房1廳1衛,無,無,102
湖埔村頂埔下２３之６號２樓,350.0,14.9,23.55,77.57%,公寓(5樓含以下無電梯),二層/三層,土:2 建:1車:0,2房1廳1衛,無,無,102
湖埔村頂埔下２３之２號３樓,350.0,14.9,23.55,81.16%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,2房1廳2衛,無,無,102
湖埔村頂埔下２３號３樓,480.0,14.6,32.88,84.14%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,3房2廳2衛,無,無,102
湖下２２３-８號３樓,560.0,23.4,23.89,,公寓(5樓含以下無電梯),三層/三層,土:5 建:1車:0,3房2廳2衛,無,無,102
湖下２２３-６號３樓,545.0,14.7,37.07,,公寓(5樓含以下無電梯),三層/三層,土:5 建:1車:0,3房2廳2衛,無,無,102
仁愛新?１０２號二樓,386.0,13.5,28.61,86.74%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
仁愛新?１０２號三樓,396.0,13.8,28.61,86.74%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
仁愛新?１０３號二樓,386.0,13.4,28.8,83.96%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
仁愛新?１０１號二樓,770.0,12.5,61.72,81.36%,公寓(5樓含以下無電梯),三層/三層,土:1 建:2車:0,3房2廳2衛,無,無,102
仁愛新?１０２號,410.0,15.0,27.36,90.71%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
仁愛新?１０３號,400.0,14.5,27.55,87.78%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
仁愛新?１０３號三樓,385.0,13.4,28.8,83.96%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
下堡２０２號三樓,535.0,15.3,34.98,82.58%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
頂堡６３之７號三樓,513.0,15.1,33.87,82.99%,公寓(5樓含以下無電梯),三層/三層,土:1 建:2車:0,3房2廳2衛,無,無,102
頂埔下７０號二樓,555.0,0.0,35.35,84.62%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房1廳1衛,無,無,102
仁愛新?１０１號,410.0,14.8,27.67,90.75%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
頂埔下６９號,520.0,17.4,29.91,100.00%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,102
